cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
PRI,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRK,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,2021,Other High Income Countries,OHI,Portugal,PRT,2019,national,,,,income,,,2.218,0.0015,6e-04,3e-04,9e-04,35.2619,29.4276,,,,,,,,,,,,,,,0.6574,10286263,21617.4116,14100.0951,FALSE,micro,survey
PRY,2021,Latin America & Caribbean,LAC,Paraguay,PRY,2019,national,,,,income,,,2.158,0.0103,0.0019,6e-04,0.0024,19.46,13.3391,,,,,,,,,,,,,,,2539.9849,6530026,6229.212,4079.9709,FALSE,micro,survey
PSE,2021,Middle East & North Africa,MNA,West Bank and Gaza,PSE,2019,national,,,,consumption,,,2.416,0.0089,0.0013,3e-04,0.0015,13.7295,11.3416,,,,,,,,,,,,,,,2.0663,4685306,3378.4346,3015.0645,TRUE,micro,extrapolation
PYF,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,2021,Europe & Central Asia,ECA,Romania,ROU,2019,national,,,,income,,,2.042,0.0202,0.0069,0.0042,0.0061,21.4669,19.0276,,,,,,,,,,,,,,,1.805,19371648,11252.8866,7546.5131,FALSE,micro,survey
RUS,2021,Europe & Central Asia,ECA,Russian Federation,RUS,2019,national,,,,consumption,,,2.065,2e-04,0,3.4967e-06,0,23.7168,17.9012,,,,,,,,,,,,,,,25.2183,144406261,9958.4697,5348.7827,FALSE,micro,survey
RWA,2021,Sub-Saharan Africa,SSA,Rwanda,RWA,2019,national,,,,consumption,,,2.182,0.4486,0.1474,0.0662,0.2025,3.5058,2.3553,,,,,,,,,,,,,,,293.705,12835028,871.1099,652.0701,TRUE,micro,extrapolation
SAU,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,2021,Sub-Saharan Africa,SSA,Sudan,SDN,2019,national,,,,consumption,,,2.368,0.2968,0.0761,0.0293,0.099,3.9489,3.1683,,,,,,,,,,,,,,,6.464,43232093,1950.0316,1744.1969,TRUE,micro,extrapolation
SEN,2021,Sub-Saharan Africa,SSA,Senegal,SEN,2019,national,,,,consumption,,,2.15,0.0887,0.017,0.0053,0.0208,6.0358,4.4737,,,,,,,,,,,,,,,238.5777,16000781,1409.9708,968.9019,TRUE,micro,extrapolation
SGP,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,2021,East Asia & Pacific,EAP,Solomon Islands,SLB,2019,national,,,,consumption,,,2.63,0.364,0.1099,0.0472,0.1486,4.1749,3.2197,,,,,,,,,,,,,,,7.7144,674993,2203.9834,1397.6562,TRUE,micro,extrapolation
SLE,2021,Sub-Saharan Africa,SSA,Sierra Leone,SLE,2019,national,,,,consumption,,,1.604,0.092,0.0166,0.0046,0.0196,3.9958,3.043,,,,,,,,,,,,,,,2128.5188,8046828,634.9856,554.1641,TRUE,micro,extrapolation
SLV,2021,Latin America & Caribbean,LAC,El Salvador,SLV,2019,national,,,,income,,,2.024,0.0115,0.0022,6e-04,0.0027,12.9517,9.8868,,,,,,,,,,,,,,,0.515,6280217,4105.6462,3394.1369,FALSE,micro,survey
SMR,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,2021,Europe & Central Asia,ECA,Serbia,SRB,2019,national,,,,consumption,,,2.001,0,0,0,0,15.2907,13.1989,,,,,,,,,,,,,,,47.9923,6945235,6567.9081,4573.373,FALSE,micro,survey
SSD,2021,Sub-Saharan Africa,SSA,South Sudan,SSD,2019,national,,,,consumption,,,2.29,0.7427,0.3851,0.2409,0.6571,1.9082,1.3498,,,,,,,,,,,,,,,34.92,10447666,787.1836,,TRUE,imputed,extrapolation
STP,2021,Sub-Saharan Africa,SSA,Sao Tome and Principe,STP,2019,national,,,,consumption,,,2.152,0.1481,0.0365,0.0141,0.0477,5.5713,4.0826,,,,,,,,,,,,,,,11.4289,214599,1676.3963,,TRUE,micro,extrapolation
SUR,2021,Latin America & Caribbean,LAC,Suriname,SUR,2019,urban,,,,income,,,2.599,0.1712,0.1323,0.122,0.0512,18.836,11.718,,,,,,,,,,,,,,,2.9343,396769,8756.1552,,TRUE,micro,extrapolation
SVK,2021,Europe & Central Asia,ECA,Slovak Republic,SVK,2019,national,,,,income,,,2.116,0.0012,2e-04,1e-04,3e-04,26.0436,24.7624,,,,,,,,,,,,,,,0.5793,5454147,18240.7209,10191.2609,FALSE,micro,survey
SVN,2021,Europe & Central Asia,ECA,Slovenia,SVN,2019,national,,,,income,,,2.129,0,0,0,0,43.4498,39.5008,,,,,,,,,,,,,,,0.6389,2088385,24125.392,12934.2198,FALSE,micro,survey
SWE,2021,Other High Income Countries,OHI,Sweden,SWE,2019,national,,,,income,,,2.116,0.0032,0.0024,0.0021,0.0028,57.7012,50.5687,,,,,,,,,,,,,,,9.2232,10278887,53490.3518,24363.0692,FALSE,micro,survey
SWZ,2021,Sub-Saharan Africa,SSA,Eswatini,SWZ,2019,national,,,,consumption,,,2.112,0.3265,0.1136,0.054,0.1603,5.8893,3.0885,,,,,,,,,,,,,,,6.1177,1169613,3766.063,2385.8188,TRUE,micro,extrapolation
SXM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,2021,Sub-Saharan Africa,SSA,Seychelles,SYC,2019,national,,,,income,,,2.213,0.0045,0.0011,3e-04,0.0013,23.0576,20.2043,,,,,,,,,,,,,,,9.0271,97625,16747.3433,5783.1309,TRUE,micro,extrapolation
SYR,2021,Middle East & North Africa,MNA,Syrian Arab Republic,SYR,2019,national,,,,consumption,,,5.123,0.9489,0.6206,0.4405,1.1432,2.0963,1.5672,,,,,,,,,,,,,,,151.7781,20098251,781.3912,421.7236,TRUE,micro,extrapolation
TCA,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,2021,Sub-Saharan Africa,SSA,Chad,TCD,2019,national,,,,consumption,,,2.244,0.3343,0.0943,0.0373,0.1231,3.8111,2.878,,,,,,,,,,,,,,,237.6564,16126866,652.7032,486.454,TRUE,micro,extrapolation
TGO,2021,Sub-Saharan Africa,SSA,Togo,TGO,2019,national,,,,consumption,,,2.394,0.3251,0.1049,0.0461,0.1428,4.6098,3.2489,,,,,,,,,,,,,,,246.5965,8243094,837.4929,631.6452,TRUE,micro,extrapolation
THA,2021,East Asia & Pacific,EAP,Thailand,THA,2019,national,,,,consumption,,,2.163,0.001,3e-04,1e-04,3e-04,16.0433,12.5394,,,,,,,,,,,,,,,13.2873,71307763,6453.8941,3331.8166,FALSE,micro,survey
TJK,2021,Europe & Central Asia,ECA,Tajikistan,TJK,2019,national,,,,consumption,,,2.078,0.0331,0.0071,0.0026,0.0092,7.6947,6.2975,,,,,,,,,,,,,,,2.5948,9337003,1172.0791,815.9631,TRUE,micro,extrapolation
TKM,2021,Europe & Central Asia,ECA,Turkmenistan,TKM,2019,national,,,,consumption,,,2.187,0.0126,0.0023,6e-04,0.0027,13.0405,9.3815,,,,,,,,,,,,,,,1.663,6158420,7422.3625,,TRUE,micro,extrapolation
TLS,2021,East Asia & Pacific,EAP,Timor-Leste,TLS,2019,national,,,,consumption,,,2.351,0.2908,0.0623,0.0199,0.0763,3.5563,3.0072,,,,,,,,,,,,,,,0.5748,1280438,1530.8111,823.769,TRUE,micro,extrapolation
TON,2021,East Asia & Pacific,EAP,Tonga,TON,2019,national,,,,consumption,,,2.005,0.0104,0.0024,6e-04,0.0027,8.9147,7.3962,,,,,,,,,,,,,,,1.7136,104951,4633.061,4508.321,TRUE,micro,extrapolation
TTO,2021,Latin America & Caribbean,LAC,Trinidad and Tobago,TTO,2019,national,,,,income,,,2.373,0.0026,0.0012,0.0012,5e-04,30.4953,23.4559,,,,,,,,,,,,,,,4.6616,1519955,15576.4346,,TRUE,group,extrapolation
TUN,2021,Middle East & North Africa,MNA,Tunisia,TUN,2019,national,,,,consumption,,,2.238,0.0012,2e-04,0,2e-04,14.575,12.0356,,,,,,,,,,,,,,,0.7423,12049314,4094.8806,2992.3983,TRUE,micro,extrapolation
TUR,2021,Europe & Central Asia,ECA,Turkiye,TUR,2019,national,,,,consumption,,,1.833,0.0012,1e-04,0,2e-04,22.2029,16.1847,,,,,,,,,,,,,,,1.6467,83481684,11935.3879,6972.1131,FALSE,micro,survey
TUV,2021,East Asia & Pacific,EAP,Tuvalu,TUV,2019,national,,,,consumption,,,2.213,0.0014,2e-04,0,2e-04,12.1256,9.0826,,,,,,,,,,,,,,,1.251,10956,4197.2392,,TRUE,micro,extrapolation
TZA,2021,Sub-Saharan Africa,SSA,Tanzania,TZA,2019,national,,,,consumption,,,2.21,0.4492,0.1361,0.056,0.1799,3.3884,2.397,,,,,,,,,,,,,,,754.6215,59872579,1038.7363,601.2591,TRUE,micro,extrapolation
UGA,2021,Sub-Saharan Africa,SSA,Uganda,UGA,2019,national,,,,consumption,,,2.122,0.4099,0.1304,0.0576,0.1786,3.556,2.487,,,,,,,,,,,,,,,1221.0876,42949080,920.0716,679.3153,TRUE,micro,interpolation
UKR,2021,Europe & Central Asia,ECA,Ukraine,UKR,2019,national,,,,consumption,,,1.95,0,0,0,0,14.9213,13.1278,,,,,,,,,,,,,,,7.0057,44386203,2425.635,1997.7584,FALSE,micro,survey
URY,2021,Latin America & Caribbean,LAC,Uruguay,URY,2019,national,,,,income,,,2.187,0.001,4e-04,3e-04,4e-04,28.7793,21.998,,,,,,,,,,,,,,,24.8543,3428409,17563.2082,,FALSE,micro,survey
USA,2021,Other High Income Countries,OHI,United States,USA,2019,national,,,,income,,,2.07,0.01,0.0077,0.0069,0.025,85.8747,64.7308,,,,,,,,,,,,,,,1,328329953,60698.0113,41117.6343,FALSE,micro,survey
UZB,2021,Europe & Central Asia,ECA,Uzbekistan,UZB,2019,national,,,,consumption,,,2.001,0.2359,0.065,0.027,0.0867,3.6721,2.8908,,,,,,,,,,,,,,,1521.4752,33580350,3185.3346,2128.7367,TRUE,micro,extrapolation
VCT,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGB,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIR,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,2021,East Asia & Pacific,EAP,Vietnam,VNM,2019,national,,,,consumption,,,2.138,0.0076,0.0014,4e-04,0.0017,14.7025,11.7817,,,,,,,,,,,,,,,7807.6123,95776716,3288.3531,1935.0125,TRUE,micro,interpolation
VUT,2021,East Asia & Pacific,EAP,Vanuatu,VUT,2019,national,,,,consumption,,,2.369,0.1279,0.0306,0.0111,0.0389,5.5141,4.735,,,,,,,,,,,,,,,117.3665,304404,2838.9883,1820.4999,TRUE,micro,interpolation
WSM,2021,East Asia & Pacific,EAP,Samoa,WSM,2019,national,,,,consumption,,,1.952,0.0025,5e-04,2e-04,6e-04,11.1628,8.2884,,,,,,,,,,,,,,,1.8513,211905,4322.4413,2968.6638,TRUE,micro,extrapolation
YEM,2021,Middle East & North Africa,MNA,"Yemen, Rep.",YEM,2019,national,,,,consumption,,,2.437,0.6592,0.2536,0.1246,0.3618,2.499,1.9128,,,,,,,,,,,,,,,255.6836,31546691,1182.5071,,TRUE,micro,extrapolation
ZAF,2021,Sub-Saharan Africa,SSA,South Africa,ZAF,2019,national,,,,consumption,,,2.212,0.2147,0.0732,0.0349,0.1039,11.8975,4.7353,,,,,,,,,,,,,,,6.5494,58087055,6189.2892,4046.2205,TRUE,micro,extrapolation
ZMB,2021,Sub-Saharan Africa,SSA,Zambia,ZMB,2019,national,,,,consumption,,,2.228,0.6192,0.3286,0.2116,0.5728,2.9806,1.6115,,,,,,,,,,,,,,,4.2238,18380477,1310.6222,,TRUE,micro,extrapolation
ZWE,2021,Sub-Saharan Africa,SSA,Zimbabwe,ZWE,2019,national,,,,consumption,,,2.198,0.4071,0.1408,0.0643,0.1939,4.5002,2.6533,,,,,,,,,,,,,,,0.485,15354608,1342.9896,990.4512,FALSE,imputed,survey
ABW,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2022,Sub-Saharan Africa,SSA,Angola,AGO,2019,national,,,,consumption,,,2.178,0.3265,0.1285,0.0681,0.1957,5.2981,3.3057,,,,,,,,,,,,,,,107.27,32353588,2569.7017,1404.1077,TRUE,micro,extrapolation
ALB,2022,Europe & Central Asia,ECA,Albania,ALB,2019,national,,,,consumption,,,2.006,0,0,0,0,13.7498,11.6073,,,,,,,,,,,,,,,50.3574,2854191,4543.3877,3591.2926,FALSE,micro,survey
AND,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,2022,Other High Income Countries,OHI,United Arab Emirates,ARE,2019,national,,,,income,,,2.356,0,0,0,0,85.9466,78.6864,,,,,,,,,,,,,,,2.8348,9211657,43785.4173,17854.9971,TRUE,group,extrapolation
ARG,2022,Latin America & Caribbean,LAC,Argentina,ARG,2019,urban,,,,income,,,2.129,0.0075,0.0032,0.0022,0.0028,26.0959,19.4754,,,,,,,,,,,,,,,10.8079,41339571,12716.2242,8271.9248,FALSE,micro,survey
ARM,2022,Europe & Central Asia,ECA,Armenia,ARM,2019,national,,,,consumption,,,2.201,0.0111,0.0015,3e-04,0.0017,7.9063,6.714,,,,,,,,,,,,,,,167.3122,2820602,4561.9678,3804.3075,FALSE,micro,survey
ASM,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2022,Other High Income Countries,OHI,Australia,AUS,2019,national,,,,income,,,2.166,0.005,0.0041,0.0035,0.0144,63.2951,51.7803,,,,,,,,,,,,,,,1.5293,25340217,58492.2057,32073.968,TRUE,micro,extrapolation
AUT,2022,Other High Income Countries,OHI,Austria,AUT,2019,national,,,,income,,,2.208,0.0064,0.0047,0.0041,0.0139,66.1682,57.6429,,,,,,,,,,,,,,,0.8309,8879920,46647.081,23852.0657,FALSE,micro,survey
AZE,2022,Europe & Central Asia,ECA,Azerbaijan,AZE,2019,national,,,,consumption,,,2.077,0,0,0,0,19.7505,16.3746,,,,,,,,,,,,,,,0.487,10024283,5348.4541,,TRUE,micro,extrapolation
BDI,2022,Sub-Saharan Africa,SSA,Burundi,BDI,2019,national,,,,consumption,,,2.204,0.7315,0.3144,0.1676,0.4688,2.0184,1.4988,,,,,,,,,,,,,,,654.4216,11874838,270.1373,207.1296,TRUE,micro,extrapolation
BEL,2022,Other High Income Countries,OHI,Belgium,BEL,2019,national,,,,income,,,2.168,8e-04,6e-04,6e-04,3e-04,58.9865,52.6285,,,,,,,,,,,,,,,0.8453,11488980,43107.2148,22164.8884,FALSE,micro,survey
BEN,2022,Sub-Saharan Africa,SSA,Benin,BEN,2019,national,,,,consumption,,,2.057,0.1714,0.0391,0.0134,0.0487,4.7459,3.5472,,,,,,,,,,,,,,,219.4763,12290444,1153.7262,787.1982,TRUE,micro,extrapolation
BFA,2022,Sub-Saharan Africa,SSA,Burkina Faso,BFA,2019,national,,,,consumption,,,2.117,0.2964,0.0775,0.0289,0.0991,4.345,2.9247,,,,,,,,,,,,,,,199.7414,20951639,716.0122,459.4514,TRUE,micro,extrapolation
BGD,2022,South Asia,SAS,Bangladesh,BGD,2019,national,,,,consumption,,,1.86,0.0609,0.0098,0.0026,0.0116,4.702,3.8028,,,,,,,,,,,,,,,29.5141,165516222,1575.6559,1081.9091,TRUE,micro,interpolation
BGR,2022,Europe & Central Asia,ECA,Bulgaria,BGR,2019,national,,,,income,,,1.758,0.0072,0.0025,0.0012,0.0034,27.4294,20.8615,,,,,,,,,,,,,,,0.7354,6975761,8242.314,5205.7981,FALSE,micro,survey
BHR,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,2022,Europe & Central Asia,ECA,Bosnia and Herzegovina,BIH,2019,national,,,,consumption,,,2.008,6e-04,1e-04,0,1e-04,26.3434,21.8874,,,,,,,,,,,,,,,0.7819,3360711,5558.0826,4194.3972,TRUE,micro,extrapolation
BLR,2022,Europe & Central Asia,ECA,Belarus,BLR,2019,national,,,,consumption,,,2.045,0,0,0,0,19.1325,17.1343,,,,,,,,,,,,,,,6165.2094,9419758,6267.7658,3425.8628,FALSE,micro,survey
BLZ,2022,Latin America & Caribbean,LAC,Belize,BLZ,2019,national,,,,income,,,2.212,0.1856,0.0832,0.0513,0.1315,8.0582,4.7844,,,,,,,,,,,,,,,1.309,389095,5907.3489,3519.5142,TRUE,micro,extrapolation
BMU,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,2022,Latin America & Caribbean,LAC,Bolivia,BOL,2019,national,,,,income,,,2.231,0.0201,0.0065,0.0031,0.0086,19.6077,14.6929,,,,,,,,,,,,,,,2.6119,11777315,3242.9488,2244.932,FALSE,micro,survey
BRA,2022,Latin America & Caribbean,LAC,Brazil,BRA,2019,national,,,,income,,,2.129,0.0532,0.0208,0.0115,0.0269,21.1151,12.8877,,,,,,,,,,,,,,,2.3274,211782878,8592.2102,5605.5095,FALSE,micro,survey
BRB,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,2022,South Asia,SAS,Bhutan,BTN,2019,national,,,,consumption,,,2.158,0.0043,7e-04,2e-04,8e-04,13.5325,11.1228,,,,,,,,,,,,,,,20.4738,767459,3219.6414,1829.0473,TRUE,micro,interpolation
BWA,2022,Sub-Saharan Africa,SSA,Botswana,BWA,2019,national,,,,consumption,,,2.063,0.1209,0.0314,0.0122,0.041,9.3453,5.1275,,,,,,,,,,,,,,,5.0087,2499702,6485.4604,2815.3277,TRUE,micro,extrapolation
CAF,2022,Sub-Saharan Africa,SSA,Central African Republic,CAF,2019,national,,,,consumption,,,2.284,0.677,0.3196,0.1864,0.5116,2.3371,1.5808,,,,,,,,,,,,,,,306.8083,5209324,381.414,466.0255,TRUE,micro,interpolation
CAN,2022,Other High Income Countries,OHI,Canada,CAN,2019,national,,,,income,,,2.155,0.0025,6e-04,2e-04,7e-04,65.7328,56.113,,,,,,,,,,,,,,,1.2867,37601230,45113.0663,26398.3959,FALSE,micro,survey
CHE,2022,Other High Income Countries,OHI,Switzerland,CHE,2019,national,,,,income,,,2.169,3e-04,2e-04,1e-04,4e-04,77.4839,64.6636,,,,,,,,,,,,,,,1.3586,8575280,87123.6604,44823.3901,TRUE,micro,extrapolation
CHI,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,2022,Latin America & Caribbean,LAC,Chile,CHL,2019,national,,,,income,,,1.924,0.0053,0.0032,0.0025,0.0026,27.0133,18.1061,,,,,,,,,,,,,,,478.9957,19039485,13761.3745,8799.0632,TRUE,micro,interpolation
CHN-R,2022,East Asia & Pacific,EAP,China,CHN,2019,rural,,,,consumption,,,1.914,0.0015,3e-04,2e-04,4e-04,9.9159,8.0993,,,,,,,,,,,,,,,3.495,558762145,10155.5114,4083.1129,FALSE,aggregate,survey
CHN-U,2022,East Asia & Pacific,EAP,China,CHN,2019,urban,,,,consumption,,,1.914,4e-04,1e-04,1e-04,1e-04,16.9772,13.3395,,,,,,,,,,,,,,,4.3185,848982855,10155.5114,4083.1129,FALSE,aggregate,survey
CIV,2022,Sub-Saharan Africa,SSA,Cote d'Ivoire,CIV,2019,national,,,,consumption,,,2.091,0.0983,0.0201,0.0065,0.0249,5.7669,4.4315,,,,,,,,,,,,,,,247.1344,26147551,2252.5433,1428.7855,TRUE,micro,extrapolation
CMR,2022,Sub-Saharan Africa,SSA,Cameroon,CMR,2019,national,,,,consumption,,,2.159,0.2336,0.0735,0.0325,0.1004,6.1216,4.1384,,,,,,,,,,,,,,,236.9115,25782341,1454.5641,1070.3983,TRUE,micro,extrapolation
COD,2022,Sub-Saharan Africa,SSA,"Congo, Dem. Rep.",COD,2019,national,,,,consumption,,,2.206,0.6446,0.2839,0.1587,0.4406,2.3365,1.6835,,,,,,,,,,,,,,,630.6055,89906890,494.8192,362.7961,TRUE,micro,extrapolation
COG,2022,Sub-Saharan Africa,SSA,"Congo, Rep.",COG,2019,national,,,,consumption,,,2.139,0.5011,0.218,0.1236,0.3413,3.2916,2.1366,,,,,,,,,,,,,,,285.9693,5570733,1731.7999,758.3223,TRUE,micro,extrapolation
COL,2022,Latin America & Caribbean,LAC,Colombia,COL,2019,national,,,,income,,,1.863,0.0412,0.0164,0.0102,0.0201,15.5424,9.6152,,,,,,,,,,,,,,,1419.3743,50187406,6404.1088,4460.1382,FALSE,micro,survey
COM,2022,Sub-Saharan Africa,SSA,Comoros,COM,2019,national,,,,consumption,,,2.165,0.181,0.0635,0.0301,0.09,6.6409,4.5375,,,,,,,,,,,,,,,213.5182,790986,1381.6222,1302.6061,TRUE,micro,extrapolation
CPV,2022,Sub-Saharan Africa,SSA,Cabo Verde,CPV,2019,national,,,,consumption,,,2.09,0.0242,0.0049,0.0015,0.006,11.0674,7.8351,,,,,,,,,,,,,,,47.6121,577030,3690.6565,2430.3797,TRUE,micro,extrapolation
CRI,2022,Latin America & Caribbean,LAC,Costa Rica,CRI,2019,national,,,,income,,,2.131,0.0106,0.0042,0.0025,0.0047,25.5309,16.2318,,,,,,,,,,,,,,,372.6693,5084532,12662.4229,8185.9077,FALSE,micro,survey
CUB,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUW,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,2022,Other High Income Countries,OHI,Cyprus,CYP,2019,national,,,,income,,,2.113,0.0015,0.0015,0.0015,0,51.5746,43.1973,,,,,,,,,,,,,,,0.6682,1228836,28360.0312,18283.6816,FALSE,micro,survey
CZE,2022,Europe & Central Asia,ECA,Czech Republic,CZE,2019,national,,,,income,,,2.215,0,0,0,0,39.3665,34.5639,,,,,,,,,,,,,,,13.6514,10671870,20206.4256,9536.6521,FALSE,micro,survey
DEU,2022,Other High Income Countries,OHI,Germany,DEU,2019,national,,,,income,,,2.201,0,0,0,0,65.8802,55.5203,,,,,,,,,,,,,,,0.7872,83092962,43284.6025,22938.5767,FALSE,micro,survey
DJI,2022,Middle East & North Africa,MNA,Djibouti,DJI,2019,national,,,,consumption,,,1.9,0.1429,0.046,0.022,0.0667,5.6307,4.2254,,,,,,,,,,,,,,,104.7365,1073994,2820.0629,1827.1634,TRUE,micro,extrapolation
DMA,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,2022,Other High Income Countries,OHI,Denmark,DNK,2019,national,,,,income,,,2.174,0.0025,0.0021,0.0019,0.0041,62.7364,54.0781,,,,,,,,,,,,,,,7.891,5814422,57203.0278,27010.256,FALSE,micro,survey
DOM,2022,Latin America & Caribbean,LAC,Dominican Republic,DOM,2019,national,,,,income,,,2.041,0.0076,0.002,0.0012,0.0017,16.4693,11.8024,,,,,,,,,,,,,,,24.3906,10881882,8205.1426,5673.9275,FALSE,micro,survey
DZA,2022,Middle East & North Africa,MNA,Algeria,DZA,2019,national,,,,consumption,,,2.177,0.0033,0.0013,0.001,0.001,10.3991,9.0641,,,,,,,,,,,,,,,38.2097,42705368,4153.0034,1764.5954,TRUE,group,extrapolation
ECU,2022,Latin America & Caribbean,LAC,Ecuador,ECU,2019,national,,,,income,,,2.109,0.0341,0.0105,0.0047,0.014,15.3802,10.6785,,,,,,,,,,,,,,,0.5745,17343740,5863.9106,3644.6061,FALSE,micro,survey
EGY,2022,Middle East & North Africa,MNA,"Egypt, Arab Rep.",EGY,2019,national,,,,consumption,,,1.928,0.0108,0.0018,5e-04,0.0023,6.5445,5.2538,,,,,,,,,,,,,,,4.8435,105618671,3802.41,2958.1693,TRUE,micro,interpolation
ERI,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2022,Other High Income Countries,OHI,Spain,ESP,2019,national,,,,income,,,2.237,0.0079,0.0058,0.0048,0.0083,46.8662,40.2915,,,,,,,,,,,,,,,0.7029,47134837,28087.8979,16133.6231,FALSE,micro,survey
EST,2022,Europe & Central Asia,ECA,Estonia,EST,2019,national,,,,income,,,2.024,0.0048,0.0031,0.0028,0.0075,41.0067,34.645,,,,,,,,,,,,,,,0.5964,1326898,20269.5751,10398.8172,FALSE,micro,survey
ETH,2022,Sub-Saharan Africa,SSA,Ethiopia,ETH,2019,national,,,,consumption,,,1.858,0.1288,0.0326,0.0116,0.0411,4.4437,3.6389,,,,,,,,,,,,,,,8.4964,114120594,797.8853,544.9121,TRUE,micro,extrapolation
FIN,2022,Other High Income Countries,OHI,Finland,FIN,2019,national,,,,income,,,2.126,4e-04,4e-04,4e-04,9.3239e-07,58.8479,51.2622,,,,,,,,,,,,,,,0.9333,5521606,46135.8814,24465.0783,FALSE,micro,survey
FJI,2022,East Asia & Pacific,EAP,Fiji,FJI,2019,national,,,,consumption,,,2.278,0.0158,0.0021,5e-04,0.0025,8.2387,6.8939,,,,,,,,,,,,,,,0.9859,918465,5678.9699,,TRUE,micro,interpolation
FRA,2022,Other High Income Countries,OHI,France,FRA,2019,national,,,,income,,,2.146,5e-04,2e-04,1e-04,3e-04,56.189,48.5685,,,,,,,,,,,,,,,0.8354,67388001,38832.0242,20764.6107,FALSE,micro,survey
FRO,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,2022,East Asia & Pacific,EAP,"Micronesia, Fed. Sts.",FSM,2019,national,,,,consumption,,,2.268,0.1639,0.0599,0.032,0.0937,5.8221,4.428,,,,,,,,,,,,,,,0.9772,111379,2967.0022,,TRUE,micro,extrapolation
GAB,2022,Sub-Saharan Africa,SSA,Gabon,GAB,2019,national,,,,consumption,,,2.378,0.033,0.008,0.0032,0.0107,12.3368,9.6731,,,,,,,,,,,,,,,319.1603,2242785,6893.3231,2506.3412,TRUE,micro,extrapolation
GBR,2022,Other High Income Countries,OHI,United Kingdom,GBR,2019,national,,,,income,,,2.212,0.005,0.0026,0.0023,0.0084,55.1567,47.0616,,,,,,,,,,,,,,,0.7797,66836327,47491.5946,30920.5374,FALSE,micro,survey
GEO,2022,Europe & Central Asia,ECA,Georgia,GEO,2019,national,,,,consumption,,,1.756,0.0255,0.0056,0.002,0.0071,7.9745,6.4294,,,,,,,,,,,,,,,0.9247,3720161,4773.3357,3532.3452,FALSE,micro,survey
